time,source,dest,protocol,size,description,website
23.702112182,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=109237 Ack=1859 Win=524288 Len=1448 TSval=3377887897 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702114136,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=110685 Win=101760 Len=0 TSval=755479653 TSecr=3377887897,weather.com
23.702119827,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=110685 Ack=1859 Win=524288 Len=1448 TSval=3377887897 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702122221,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=112133 Win=104704 Len=0 TSval=755479653 TSecr=3377887897,weather.com
23.702135977,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=112133 Ack=1859 Win=524288 Len=1448 TSval=3377887897 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702145495,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=113581 Win=107648 Len=0 TSval=755479653 TSecr=3377887897,weather.com
23.702146507,146.75.29.44,172.28.0.2,TCP,1514,443 → 54508 [ACK] Seq=113581 Ack=1859 Win=524288 Len=1448 TSval=3377887897 TSecr=755479650 [TCP segment of a reassembled PDU],weather.com
23.702153239,146.75.29.44,172.28.0.2,TCP,1178,"443 → 54508 [PSH, ACK] Seq=115029 Ack=1859 Win=524288 Len=1112 TSval=3377887897 TSecr=755479650 [TCP segment of a reassembled PDU]",weather.com
23.702185109,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=115029 Win=110464 Len=0 TSval=755479653 TSecr=3377887897,weather.com
23.702193715,172.28.0.2,146.75.29.44,TCP,66,54508 → 443 [ACK] Seq=1859 Ack=116141 Win=113408 Len=0 TSval=755479653 TSecr=3377887897,weather.com
23.702311436,34.117.228.201,172.28.0.2,TCP,66,443 → 43038 [ACK] Seq=1 Ack=674 Win=523584 Len=0 TSval=3007697280 TSecr=3952488279,weather.com
