time,source,dest,protocol,size,description,website
8.636795505,172.28.0.2,142.251.16.94,TCP,66,"51000 → 80 [FIN, ACK] Seq=433 Ack=733 Win=64128 Len=0 TSval=3195908051 TSecr=1805959966",github
8.637131785,142.251.16.94,172.28.0.2,TCP,66,"80 → 51000 [FIN, ACK] Seq=733 Ack=433 Win=524288 Len=0 TSval=1805959968 TSecr=3195907966",github
8.637145992,172.28.0.2,142.251.16.94,TCP,66,51000 → 80 [ACK] Seq=434 Ack=734 Win=64128 Len=0 TSval=3195908051 TSecr=1805959968,github
8.638302800,172.28.0.2,35.201.112.186,TLSv1.3,130,"Change Cipher Spec, Application Data",github
8.638402792,142.251.16.94,172.28.0.2,TCP,66,80 → 51000 [ACK] Seq=734 Ack=434 Win=524256 Len=0 TSval=1805959969 TSecr=3195908051,github
8.639544958,172.28.0.2,35.201.112.186,TLSv1.3,236,Application Data,github
8.639644936,172.28.0.2,35.201.112.186,TLSv1.3,346,Application Data,github
8.640204424,35.201.112.186,172.28.0.2,TCP,66,443 → 41028 [ACK] Seq=4688 Ack=731 Win=524224 Len=0 TSval=2177554712 TSecr=2270950002,github
8.641478993,35.201.112.186,172.28.0.2,TCP,66,443 → 41028 [ACK] Seq=4688 Ack=1181 Win=523744 Len=0 TSval=2177554713 TSecr=2270950004,github
8.666978560,35.201.112.186,172.28.0.2,TLSv1.3,684,"Application Data, Application Data",github
8.667016501,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=1181 Ack=5306 Win=64128 Len=0 TSval=2270950031 TSecr=2177554739,github
8.667063369,35.201.112.186,172.28.0.2,TLSv1.3,1514,"Application Data, Application Data",github
8.667084409,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=1181 Ack=6754 Win=63232 Len=0 TSval=2270950031 TSecr=2177554739,github
8.667098465,35.201.112.186,172.28.0.2,TLSv1.3,1323,"Application Data, Application Data, Application Data",github
8.667101601,172.28.0.2,35.201.112.186,TCP,66,41028 → 443 [ACK] Seq=1181 Ack=8011 Win=62080 Len=0 TSval=2270950031 TSecr=2177554739,github
8.667715597,172.28.0.2,35.201.112.186,TLSv1.3,97,Application Data,github
8.668161993,172.28.0.2,35.201.112.186,TLSv1.3,105,Application Data,github
8.669908803,35.201.112.186,172.28.0.2,TCP,66,443 → 41028 [ACK] Seq=8011 Ack=1212 Win=524256 Len=0 TSval=2177554741 TSecr=2270950032,github
8.670264520,35.201.112.186,172.28.0.2,TCP,66,443 → 41028 [ACK] Seq=8011 Ack=1251 Win=524192 Len=0 TSval=2177554742 TSecr=2270950032,github
8.674207716,172.28.0.2,35.201.112.186,QUIC,1399,"Initial, DCID=f8b8becfb1b6e338, SCID=1f1f13, PKN: 0, CRYPTO",github
8.730954658,35.201.112.186,172.28.0.2,QUIC,1399,"Handshake, DCID=1f1f13, SCID=f8b8becfb1b6e338",github
8.731012727,35.201.112.186,172.28.0.2,QUIC,1399,"Handshake, DCID=1f1f13, SCID=f8b8becfb1b6e338",github
8.731020492,35.201.112.186,172.28.0.2,QUIC,1399,"Handshake, DCID=1f1f13, SCID=f8b8becfb1b6e338",github
8.732122122,172.28.0.2,35.201.112.186,QUIC,84,"Handshake, DCID=f8b8becfb1b6e338, SCID=1f1f13",github
8.749910575,35.201.112.186,172.28.0.2,QUIC,1022,"Protected Payload (KP0), DCID=1f1f13",github
8.751402476,172.28.0.2,35.201.112.186,QUIC,85,"Handshake, DCID=f8b8becfb1b6e338, SCID=1f1f13",github
8.755530599,172.28.0.2,192.168.65.7,DNS,73,Standard query 0x5a39 A ocsp.pki.goog,github
8.755726772,172.28.0.2,192.168.65.7,DNS,73,Standard query 0x5435 A ocsp.pki.goog,github
8.758284606,192.168.65.7,172.28.0.2,DNS,195,Standard query response 0x5435 A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.251.16.94 A 142.251.16.94,github
8.758687551,192.168.65.7,172.28.0.2,DNS,195,Standard query response 0x5a39 A ocsp.pki.goog CNAME pki-goog.l.google.com A 142.251.16.94 A 142.251.16.94,github
8.759240127,172.28.0.2,142.251.16.94,TCP,74,51002 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3195908173 TSecr=0 WS=128,github
8.761737739,142.251.16.94,172.28.0.2,TCP,74,"80 → 51002 [SYN, ACK] Seq=0 Ack=1 Win=29184 Len=0 MSS=1460 TSval=1805960093 TSecr=3195908173 WS=32",github
8.761792762,172.28.0.2,142.251.16.94,TCP,66,51002 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3195908176 TSecr=1805960093,github
8.762171993,172.28.0.2,142.251.16.94,OCSP,498,Request,github
8.763451040,142.251.16.94,172.28.0.2,TCP,66,80 → 51002 [ACK] Seq=1 Ack=433 Win=28736 Len=0 TSval=1805960094 TSecr=3195908176,github
8.822609799,142.251.16.94,172.28.0.2,OCSP,798,Response,github
8.822769348,172.28.0.2,142.251.16.94,TCP,66,51002 → 80 [ACK] Seq=433 Ack=733 Win=64128 Len=0 TSval=3195908237 TSecr=1805960153,github
8.822822878,142.251.16.94,172.28.0.2,TCP,66,"80 → 51002 [FIN, ACK] Seq=733 Ack=433 Win=524288 Len=0 TSval=1805960153 TSecr=3195908176",github
8.823051529,172.28.0.2,142.251.16.94,TCP,66,"51002 → 80 [FIN, ACK] Seq=433 Ack=734 Win=64128 Len=0 TSval=3195908237 TSecr=1805960153",github
8.824474544,142.251.16.94,172.28.0.2,TCP,66,80 → 51002 [ACK] Seq=734 Ack=434 Win=524256 Len=0 TSval=1805960155 TSecr=3195908237,github
8.824937842,172.28.0.2,35.201.112.186,QUIC,173,"Protected Payload (KP0), DCID=f8b8becfb1b6e338",github
8.825037689,172.28.0.2,35.201.112.186,QUIC,111,"Protected Payload (KP0), DCID=f8b8becfb1b6e338",github
8.849666259,35.201.112.186,172.28.0.2,QUIC,614,"Protected Payload (KP0), DCID=1f1f13",github
8.849717565,35.201.112.186,172.28.0.2,QUIC,166,"Protected Payload (KP0), DCID=1f1f13",github
8.849722935,35.201.112.186,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=1f1f13",github
8.850346879,172.28.0.2,35.201.112.186,QUIC,73,"Protected Payload (KP0), DCID=f8b8becfb1b6e338",github
8.859115806,172.28.0.2,192.168.65.7,DNS,76,Standard query 0x3a7f A rs.fullstory.com,github
8.859845424,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.859938829,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.859956262,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.861507211,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.861642783,172.28.0.2,192.168.65.7,DNS,93,Standard query 0x7e33 A browser.events.data.microsoft.com,github
8.861989252,192.168.65.7,172.28.0.2,DNS,108,Standard query response 0x3a7f A rs.fullstory.com A 35.186.194.58,github
8.862982409,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.865394420,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.865619111,172.28.0.2,35.186.194.58,QUIC,1259,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.879990254,35.186.194.58,172.28.0.2,QUIC,72,"Protected Payload (KP0), DCID=b495e7",github
8.880319130,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
8.888503070,35.186.194.58,172.28.0.2,QUIC,68,"Protected Payload (KP0), DCID=b495e7",github
8.888890637,172.28.0.2,35.186.194.58,QUIC,1399,"Protected Payload (KP0), DCID=e74fce2ba59ad0f8",github
