time,source,dest,protocol,size,description,website
4.738664664,172.28.0.2,142.251.167.99,QUIC,73,"Protected Payload (KP0), DCID=e2acc364247a54a1",facebook
4.748532871,157.240.229.35,172.28.0.2,QUIC,90,"Protected Payload (KP0), DCID=b49427",facebook
4.748809535,172.28.0.2,157.240.229.35,QUIC,76,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.776047105,142.251.167.99,172.28.0.2,QUIC,69,"Protected Payload (KP0), DCID=80420b",facebook
4.856907240,157.240.229.35,172.28.0.2,QUIC,474,"Protected Payload (KP0), DCID=b49427",facebook
4.856958246,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.856964277,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.856969217,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.856973184,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.856977302,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.857870266,172.28.0.2,157.240.229.35,QUIC,81,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.859029929,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859076046,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859082428,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859086896,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859230806,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859263507,172.28.0.2,157.240.229.35,QUIC,76,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.859604186,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859704464,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859710846,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.859867469,172.28.0.2,157.240.229.35,QUIC,76,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.860133077,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.860172180,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.860397523,172.28.0.2,157.240.229.35,QUIC,76,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.862408262,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.862447956,157.240.229.35,172.28.0.2,QUIC,1274,"Protected Payload (KP0), DCID=b49427",facebook
4.862454328,157.240.229.35,172.28.0.2,QUIC,602,"Protected Payload (KP0), DCID=b49427",facebook
4.862600622,172.28.0.2,157.240.229.35,QUIC,76,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.869842577,172.28.0.2,192.168.65.7,DNS,76,Standard query 0xfe7b A www.facebook.com,facebook
4.869950309,172.28.0.2,157.240.229.35,QUIC,1399,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.870196520,172.28.0.2,157.240.229.35,QUIC,1111,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.870268475,172.28.0.2,157.240.229.35,QUIC,77,"Protected Payload (KP0), DCID=b52101021363b511",facebook
4.872784491,192.168.65.7,172.28.0.2,DNS,176,Standard query response 0xfe7b A www.facebook.com CNAME star-mini.c10r.facebook.com A 157.240.229.35,facebook
4.879923443,172.28.0.2,157.240.229.35,QUIC,1399,"Protected Payload (KP0), DCID=b52101021363b511",facebook
